samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
GTEX-13FHP-2426-SM-5KLZ5,6.5852,5.2942,7.8115,11.1564,9.1632,8.9046,4.2884,4.9054,,,TCGA-AA-3525-11,8.5626,10.2104,9.5388,11.3719,8.4446,8.2466,6.7158,8.8048,,,,,,
GTEX-11ONC-2026-SM-5HL61,6.4496,5.7495,8.1179,11.1463,9.1574,8.4959,2.8875,4.0875,,,TCGA-A6-2671-11,8.2082,9.2395,8.8429,11.2666,7.4718,8.2676,5.1385,7.5235,,,,,,
GTEX-ZYFC-2626-SM-5NQ6S,7.0102,3.5028,8.1755,11.1268,9.4727,9.1204,0,3.3282,,,TCGA-A6-5659-11,7.599,9.3686,9.186,10.8894,8.4419,8.2929,5.6315,7.1829,,,,,,
GTEX-12KS4-2426-SM-5LU8P,8.0541,8.3499,8.625,11.0319,9.2614,8.5494,6.5712,8.3016,,,TCGA-A6-2675-11,8.0069,8.8568,8.9738,11.2944,7.5381,8.6164,5.6674,7.5117,,,,,,
GTEX-111VG-2226-SM-5N9DU,6.5204,4.5072,8.3019,10.9913,8.6379,9.0497,1.1883,5.2512,,,TCGA-AA-3697-11,9.0464,10.458,9.2472,11.5789,7.6454,8.6201,6.9463,8.992,,,,,,
GTEX-147JS-2526-SM-5S2Q8,6.7906,5.4133,8.3164,11.1839,9.4136,8.4263,2.8689,5.3699,,,TCGA-AZ-6605-11,6.4923,6.7658,8.2465,11.0678,7.5908,9.1767,3.9853,4.9848,,,,,,
GTEX-XMK1-1726-SM-4B64Z,9.2173,10.4256,9.9073,11.997,8.1853,8.7627,7.7247,9.2255,,,TCGA-AA-3489-11,8.5452,8.9551,8.7787,11.3302,8.5737,8.759,6.3423,7.6837,,,,,,
GTEX-Z93S-2426-SM-5HL8N,6.4968,3.2056,8.732,11.1977,8.6058,9.15,1.1211,2.178,,,TCGA-AZ-6599-11,8.5992,10.0628,9.4681,11.2722,7.9431,8.1807,7.129,8.6802,,,,,,
GTEX-Y8E4-2426-SM-4WWDN,7.2705,9.002,8.9921,11.6226,8.3327,9.1334,5.2211,7.0202,,,TCGA-A6-2682-11,8.4341,9.6354,9.3609,11.4997,8.3571,8.4373,5.9848,8.4049,,,,,,
GTEX-ZAB4-2226-SM-5HL97,7.0667,6.9893,8.4616,11.1395,8.8075,8.7357,4.7121,6.3369,,,TCGA-AA-3655-11,7.8604,9.4505,8.6369,11.3697,8.1128,8.5245,5.9416,8.1262,,,,,,
GTEX-11O72-2226-SM-5PNW2,5.8357,3.7031,8.3172,10.9568,9.4034,8.9599,1.224,2.6654,,,TCGA-AA-3713-11,8.5617,9.5124,8.6674,11.7223,8.3622,8.7572,6.7203,8.2265,,,,,,
GTEX-OXRL-1426-SM-3NM9E,6.8937,5.3733,8.3349,11.4422,8.2763,9.5449,1.4443,3.9664,,,TCGA-AZ-6601-11,8.4865,9.808,9.5143,11.3365,7.8212,8.4123,6.1938,8.7088,,,,,,
GTEX-11NSD-1626-SM-5986U,7.1478,8.3002,9.0257,11.3966,8.887,9.0331,5.5023,6.3774,,,TCGA-AA-3522-11,8.7461,9.8013,9.0723,11.3888,7.5948,8.4056,7.1554,8.9484,,,,,,
GTEX-ZVP2-1526-SM-5NQ82,8.4877,10.0642,9.7296,11.8321,8.9328,8.8519,6.4997,8.1189,,,TCGA-AA-3712-11,8.3101,9.4536,9.1717,11.6299,8.1298,8.6536,6.0023,7.9404,,,,,,
GTEX-117YX-0826-SM-5H11J,6.5414,3.2291,8.728,11.5623,7.321,9.5386,2.3753,3.3819,,,TCGA-AA-3511-11,9.2198,9.9041,9.3805,11.4975,8.7262,8.3843,7.1057,8.786,,,,,,
GTEX-O5YW-1426-SM-3MJHF,7.2496,7.8264,8.9342,11.3246,8.4539,9.0089,3.9964,6.8477,,,TCGA-AZ-6600-11,8.6283,9.9893,9.7138,11.2069,7.7833,8.9521,6.3208,7.9885,,,,,,
GTEX-145MO-2426-SM-5NQ9W,7.2119,3.9931,7.8193,11.3748,9.0741,9.1088,2.3161,3.3153,,,TCGA-AA-3517-11,8.3446,9.5516,9.1647,11.2886,8.0802,8.3237,5.7302,7.9649,,,,,,
GTEX-148VJ-2626-SM-5QGPI,6.7901,3.0383,9.0786,10.9403,8.7064,9.3705,2.4139,1.2887,,,TCGA-F4-6704-11,9.438,10.2873,9.4437,11.6721,7.9989,8.8338,7.3717,9.5501,,,,,,
GTEX-TKQ2-1326-SM-4DXT9,8.7846,9.8424,9.0893,11.7824,8.3254,8.7303,6.3132,7.8494,,,TCGA-A6-5662-11,7.8178,9.3948,8.6562,10.9169,7.7503,8.5282,5.4429,7.5168,,,,,,
GTEX-131XE-0826-SM-5HL9W,8.486,9.6858,9.4642,11.9707,8.8449,8.8902,6.3329,8.5083,,,TCGA-AA-3663-11,8.4084,9.3599,8.8328,11.1282,7.7643,8.4672,6.0104,8.1194,,,,,,
GTEX-13OVG-1426-SM-5K7VP,6.9416,5.8099,9.3218,11.4743,6.6686,9.2706,3.0061,3.5299,,,TCGA-AA-3527-11,8.021,10.1016,9.3799,11.2264,7.8724,8.3876,6.3963,8.2325,,,,,,
GTEX-139YR-2126-SM-5KM11,8.3761,9.9871,9.4382,11.5746,8.8022,8.4662,7.2962,8.5364,,,TCGA-AA-3520-11,8.6466,10.0524,9.1171,11.339,7.7498,8.1905,6.4317,8.386,,,,,,
GTEX-QLQ7-1126-SM-4R1KN,6.6524,5.0765,8.8648,11.6701,7.6928,9.4246,2.6909,3.1994,,,TCGA-A6-5665-11,8.0859,9.3435,9.2205,11.1536,7.6472,8.5038,5.9427,7.8672,,,,,,
GTEX-QEL4-1926-SM-4R1JI,7.9652,9.3251,8.8673,11.6529,8.9059,8.5268,6.4153,8.0429,,,TCGA-AA-3496-11,7.5269,8.8067,8.5402,10.8676,7.4336,8.7211,5.6003,7.4651,,,,,,
GTEX-VJYA-2026-SM-4KL1K,7.799,8.9983,9.3131,11.8813,8.6924,9.2072,4.7844,6.9337,,,TCGA-A6-2686-11,8.3629,10.2018,9.1251,11.2225,7.4341,8.2845,6.5752,8.4765,,,,,,
GTEX-13OW5-2626-SM-5MR3M,7.6638,5.5231,8.427,11.4407,9.1154,9.3243,3.9201,5.0501,,,TCGA-AA-3514-11,8.7453,10.7626,9.3685,11.3374,8.4407,8.1696,7.4334,9.441,,,,,,
GTEX-ZEX8-1926-SM-4WKFR,8.925,10.2707,9.566,11.7129,8.8074,8.3358,7.0354,9.0949,,,TCGA-AA-3518-11,7.2791,9.4199,8.8415,11.0408,7.5201,8.1315,5.3992,7.6883,,,,,,
GTEX-ZY6K-1226-SM-5GZYL,7.7937,8.4024,9.5826,11.8162,8.8211,9.1624,5.2662,7.4515,,,TCGA-AA-3662-11,7.8189,9.2587,8.8803,11.2437,7.9633,8.4985,5.6128,7.8859,,,,,,
GTEX-11TUW-2026-SM-5EQL8,7.1194,0,9.6828,11.7495,8.9875,9.8935,1.9771,1.3036,,,TCGA-AA-3534-11,8.398,9.9,9.4706,11.3656,7.9688,8.2204,6.3793,8.693,,,,,,
GTEX-XXEK-1926-SM-4BRVD,6.5849,0,8.5391,11.441,8.8368,9.9617,0,1.8349,,,TCGA-AZ-6598-11,8.881,10.3088,8.9946,11.385,7.6234,8.2552,6.7826,8.5891,,,,,,
GTEX-YEC4-1926-SM-5IFHJ,8.1039,2.4292,9.0335,11.7027,8.2296,9.7883,2.1008,1.6749,,,TCGA-AZ-6603-11,8.4039,9.2869,9.057,11.1488,7.7901,8.3969,6.8787,8.4385,,,,,,
GTEX-146FQ-1926-SM-5NQBY,9.3484,10.4475,9.6194,12.0591,8.6042,8.9403,8.0381,9.3048,,,TCGA-A6-2684-11,8.1456,9.9731,8.8207,11.2984,7.3976,8.0372,5.6735,7.7323,,,,,,
GTEX-WHWD-1226-SM-4OOS1,8.1635,9.5216,9.1485,11.6795,8.9592,8.0518,6.5384,8.4744,,,TCGA-AA-3531-11,7.929,9.852,9.061,11.3222,7.6039,7.9989,5.6264,7.9205,,,,,,
GTEX-11EQ9-1426-SM-5987G,7.4411,6.4062,8.5993,11.6687,7.8944,9.8434,4.5975,5.5276,,,TCGA-AA-3516-11,7.5028,9.7125,8.7521,11.2742,7.7538,8.0723,5.0756,6.8269,,,,,,
GTEX-Q2AH-1226-SM-48TZL,8.9651,10.1153,9.4807,11.7016,8.5237,8.6758,7.3238,9.2567,,,TCGA-A6-2679-11,8.5664,9.5246,9.1133,11.3543,8.1016,8.3203,6.3296,8.5203,,,,,,
GTEX-ZZ64-0726-SM-5GZX4,8.017,8.5159,9.2006,11.6602,7.3747,9.4533,5.4917,6.9341,,,TCGA-A6-2680-11,7.7897,8.8534,8.1149,11.0691,6.5015,8.5204,5.3526,7.3631,,,,,,
GTEX-ZPU1-1926-SM-57WDT,8.279,9.2843,9.9609,11.9407,8.8241,9.1983,5.6188,7.0829,,,TCGA-A6-2683-11,8.4372,10.0487,9.1875,11.0258,7.8728,8.0708,6.9736,8.704,,,,,,
GTEX-139T6-1326-SM-5IFFO,7.4199,8.8054,9.4637,11.6643,8.4758,8.6163,4.9924,7.8964,,,TCGA-AA-3660-11,8.1974,9.2321,8.6461,11.3053,8.2735,8.0698,5.7437,8.4745,,,,,,
GTEX-145MN-1726-SM-5SIA6,6.9386,9.5654,9.429,11.6544,8.1913,8.3463,5.8525,7.7113,,,TCGA-A6-2685-11,9.2579,10.6099,9.1968,11.3719,7.5617,8.2107,6.9763,8.8906,,,,,,
GTEX-RM2N-0926-SM-48FD1,7.8715,9.7032,9.4523,11.8453,8.2655,8.5264,5.8152,7.6316,,,TCGA-A6-2678-11,7.877,9.9912,9.0412,11.1717,7.6911,8.355,5.955,7.9135,,,,,,
GTEX-WOFM-2026-SM-4OOSQ,6.8251,9.4496,9.4105,11.6735,8.0406,8.2764,5.8377,8.1286,,,TCGA-A6-5667-11,8.5246,10.26,8.9209,11.5466,7.6881,8.3389,6.1876,8.1411,,,,,,
GTEX-WQUQ-2526-SM-4MVNO,8.1765,7.7966,8.4676,11.8427,9.0268,9.4999,5.0348,6.6403,,,TCGA-G4-6317-02,9.9296,7.7151,9.4645,11.911,8.7388,9.1062,6.8271,7.81,,,,,,
GTEX-S4Q7-0826-SM-4AD5E,7.6383,9.4811,9.7234,12.0723,8.791,9.2412,5.2369,7.2914,,,TCGA-G4-6298-01,10.2282,7.266,10.8974,11.9953,10.304,9.6704,7.6706,7.7705,,,,,,
GTEX-X3Y1-1726-SM-4PQZL,7.451,8.1603,8.8819,11.6589,8.2964,9.1706,4.3223,7.451,,,TCGA-G4-6626-01,11.2853,9.4502,10.7586,12.1899,10.1219,9.4589,8.3091,10.1659,,,,,,
GTEX-11DXZ-1726-SM-5H12M,8.0789,9.8424,9.383,11.7671,8.4548,8.219,6.0804,8.204,,,TCGA-AA-3675-01,9.9564,8.8176,9.5875,11.6324,9.2516,8.841,7.5626,8.9064,,,,,,
GTEX-XQ8I-2126-SM-4BOOM,6.5661,8.6942,8.5277,11.5226,8.9332,8.4148,3.8962,6.3061,,,TCGA-AD-6895-01,10.0656,9.8464,9.7848,11.6881,7.7492,9.5169,8.5468,8.2142,,,,,,
GTEX-ZV7C-1526-SM-5NQ72,7.3285,9.4847,9.0856,11.7771,8.3423,8.3627,5.6629,8.1303,,,TCGA-AD-6899-01,9.929,9.4839,9.8279,11.7016,9.0557,9.3115,7.8617,8.7657,,,,,,
GTEX-QLQW-0426-SM-447A7,8.4573,8.7466,8.9589,11.7998,7.8358,8.6733,5.887,7.7404,,,TCGA-AZ-4615-01,9.4207,9.9185,9.4777,11.242,8.2071,9.0788,7.5314,8.445,,,,,,
GTEX-12WSL-1626-SM-5GCMU,7.7675,5.1185,8.8941,11.4887,8.3698,9.5815,3.9504,3.706,,,TCGA-G4-6627-01,9.2244,8.743,9.6132,11.1278,9.2718,9.2053,7.7491,7.7813,,,,,,
GTEX-QDVN-1326-SM-48TZ3,9.1451,10.0099,9.5306,11.8169,8.4558,8.7927,7.0696,9.1147,,,TCGA-D5-5537-01,9.7757,7.6796,9.822,11.8991,8.8392,9.1484,7.8194,7.2524,,,,,,
GTEX-11P7K-1526-SM-5EGI7,7.6695,9.6841,8.8355,11.3749,7.8271,8.5756,5.4332,8.1124,,,TCGA-A6-5659-01,10.07170819,8.706887164,11.19774369,11.76630359,9.890488244,10.16197726,9.495461286,8.798693563,,,,,,
GTEX-14C38-2626-SM-5RQI4,6.3979,7.7096,9.9416,11.2882,8.6396,9.0918,6.2808,4.374,,,TCGA-A6-6653-01,9.7984,9.5716,9.1919,10.9932,8.7954,9.2684,8.9104,8.816,,,,,,
GTEX-QDVJ-1326-SM-48U1X,8.33,8.7026,9.0714,11.8646,7.8496,9.4792,6.2273,8.0401,,,TCGA-A6-6782-01,10.5174,8.5709,9.7136,11.7631,8.7326,9.2977,7.9823,8.6671,,,,,,
GTEX-V955-1626-SM-4JBHJ,7.7742,6.2331,8.3209,11.4719,8.8891,9.4094,3.2576,5.1782,,,TCGA-CM-6676-01,10.6239,8.668,9.9853,11.4818,11.0566,9.4319,7.5721,8.0141,,,,,,
GTEX-XGQ4-1226-SM-4AT67,7.8944,8.9183,8.9138,11.7626,7.9444,8.8366,4.945,7.0129,,,TCGA-DM-A1D7-01,10.915,10.3203,9.7084,11.9056,9.0882,9.0014,7.9415,8.9318,,,,,,
GTEX-144GM-1226-SM-5LU52,7.8799,8.7127,10.2775,12.0673,8.6593,8.9709,6.506,7.5638,,,TCGA-DM-A1HA-01,10.1468,7.3471,10.4924,12.267,9.1172,10.7828,7.2968,8.2857,,,,,,
GTEX-111YS-1626-SM-5GZZ9,7.2606,3.1396,8.4457,11.4568,8.3067,9.6795,2.9089,2.9089,,,TCGA-T9-A92H-01,10.5007,9.4611,9.8509,11.5057,9.1263,9.1569,7.9138,8.917,,,,,,
GTEX-12C56-0626-SM-5EGGC,8.4813,9.4357,9.5628,11.7648,8.6449,8.6842,6.4536,8.6316,,,TCGA-AZ-6606-01,9.4024,9.7459,10.3699,11.796,9.0339,9.2511,8.6172,8.8434,,,,,,
GTEX-13O61-1626-SM-5KM3T,7.7108,3.4063,8.6544,11.3939,7.9074,9.813,1.9044,1.2459,,,TCGA-CK-5912-01,10.1171,9.0786,9.9199,12.5919,8.9146,9.1149,8.3413,9.4343,,,,,,
GTEX-QMRM-1226-SM-447C6,8.8784,9.7224,9.4322,11.9551,8.3082,9.1335,6.0723,8.4849,,,TCGA-CK-5914-01,11.0026,8.3797,10.7939,12.1438,9.5141,9.9173,8.7741,9.3248,,,,,,
GTEX-YB5E-1626-SM-5IFIQ,7.8698,9.7484,9.1932,11.8955,7.9049,8.5787,6.2002,7.6166,,,TCGA-A6-5664-01,9.2078,9.4121,10.5412,11.3993,9.1752,9.2663,9.1986,9.3699,,,,,,
GTEX-PLZ5-1126-SM-3P613,8.7357,10.0091,9.5511,12.0746,8.7954,8.9192,6.2107,8.433,,,TCGA-CM-5862-01,9.3794,6.4876,9.3987,11.7684,10.8619,10.0778,6.8286,7.8844,,,,,,
GTEX-YEC3-2426-SM-5IFJR,8.3851,8.9152,9.1215,11.6857,8.3339,9.0196,5.9396,7.8917,,,TCGA-D5-6928-01,9.74,9.6996,10.0807,11.4761,8.4076,9.3507,9.4646,8.2336,,,,,,
GTEX-ZTSS-1126-SM-5985O,7.5584,9.036,9.0756,11.7894,8.0176,9.3442,3.8377,6.5354,,,TCGA-DM-A1D4-01,10.6496,8.1816,10.3878,11.8939,8.9398,9.2168,7.8014,9.7161,,,,,,
GTEX-OHPM-1426-SM-3TW8Y,7.5079,8.952,8.7257,11.6785,8.3667,8.8174,3.542,6.5017,,,TCGA-G4-6311-01,10.5602,8.8623,10.4222,12.0956,8.5481,9.1639,8.1104,8.4466,,,,,,
GTEX-117YW-1826-SM-5PNY5,8.4526,10.4339,9.4689,10.7872,8.0564,8.0244,7.0049,8.2472,,,TCGA-A6-4105-01,10.9904,8.8147,10.3015,11.9751,9.1824,9.7015,9.2127,9.0229,,,,,,
GTEX-WY7C-1626-SM-4ONC8,6.3098,4.452,7.9219,10.9871,8.0374,9.4615,2.2976,3.6723,,,TCGA-AA-3495-01,10.7451,9.0535,9.8076,11.8907,10.741,9.1665,7.9378,9.0792,,,,,,
GTEX-QV31-0826-SM-4R1KR,8.3986,9.75,9.6118,11.8245,7.9887,8.4365,7.039,8.4961,,,TCGA-NH-A8F8-01,10.483,7.2075,10.4066,11.9392,9.3199,9.7722,7.7201,7.9737,,,,,,
GTEX-WFG7-1526-SM-4LVMG,7.772,9.7136,9.4745,11.7436,8.2381,8.4139,6.3521,8.3955,,,TCGA-A6-2675-01,9.5012,7.8358,9.7487,11.9022,9.5606,8.8927,6.3405,8.1415,,,,,,
GTEX-13S86-1626-SM-5Q5C5,8.28,9.5449,9.0922,11.9908,9.0111,9.0973,4.5252,6.7769,,,TCGA-A6-5666-01,9.8035,7.9128,9.659,11.4175,9.8371,9.5698,8.2167,8.9845,,,,,,
GTEX-ZDYS-2326-SM-4WKG6,8.4341,9.6641,9.4007,11.8616,7.8568,8.8827,5.8657,8.0543,,,TCGA-AD-6901-01,8.8627,6.826,10.1801,12.0347,8.9738,9.2435,6.0034,8.1491,,,,,,
GTEX-13O21-2426-SM-5MR4A,7.9033,10.1728,8.896,11.5753,8.4358,7.971,6.8205,8.7253,,,TCGA-DM-A28A-01,10.5016,9.0026,10.5777,12.1478,8.7969,9.792,9.1939,9.6861,,,,,,
GTEX-WHSB-0926-SM-4M1XJ,9.2485,10.5528,9.7849,11.7283,8.7744,8.6532,8.3849,9.8147,,,TCGA-G4-6628-01,9.6775,8.3998,9.9975,11.7969,9.312,9.9631,8.7053,9.1071,,,,,,
GTEX-OIZH-1426-SM-3NB1O,7.3534,9.3003,8.7194,11.6388,8.3911,9.149,4.598,6.6791,,,TCGA-AA-3506-01,10.4519,9.2759,9.2456,12.1337,8.938,9.5881,8.7864,8.8279,,,,,,
GTEX-YF7O-1726-SM-5IFJ9,8.464,10.236,9.8482,11.9824,8.603,8.8679,6.1317,8.5963,,,TCGA-AA-3697-01,10.1912,9.471,10.6743,12.2352,9.2559,9.6603,8.5466,9.0376,,,,,,
GTEX-UJMC-1326-SM-4IHLS,7.0387,9.1894,9.0345,11.6835,8.4007,8.6323,5.4755,8.0091,,,TCGA-AZ-6605-01,9.9084,8.2485,10.053,11.9834,9.4143,8.9597,7.8461,8.4026,,,,,,
GTEX-WFON-1426-SM-4LVMT,7.7509,9.5061,8.8635,11.7366,7.9364,8.1205,4.9418,7.7297,,,TCGA-CA-6719-01,9.7256,7.533,10.8608,11.8315,10.1565,9.3618,7.5993,8.4019,,,,,,
GTEX-11P82-1026-SM-5BC5J,7.1686,9.7479,9.7315,11.5876,8.3643,8.7226,5.4865,7.5144,,,TCGA-D5-6931-01,9.651,9.1649,10.416,11.8599,8.6037,9.2154,9.4778,9.2342,,,,,,
GTEX-NFK9-2026-SM-3LK5K,8.5556,9.3627,8.733,11.9493,7.9581,9.1576,4.295,6.916,,,TCGA-5M-AATE-01,11.0177,9.0873,10.3309,12.2695,9.1473,9.8448,8.1953,8.8532,,,,,,
GTEX-TKQ1-0626-SM-4DXTS,6.8109,3.4917,8.3682,11.3499,7.3981,9.7089,2.7775,1.3011,,,TCGA-AD-6889-01,10.0933,10.6523,9.5743,11.7011,8.138,9.1175,8.1991,8.5746,,,,,,
GTEX-XBED-1526-SM-4AT5W,8.0238,9.2107,9.7165,11.7437,7.9204,8.9489,5.5141,7.4291,,,TCGA-D5-6922-01,10.6337,9.0944,10.7411,12.4846,10.0338,9.3149,8.2435,9.597,,,,,,
GTEX-Y3I4-1426-SM-4TT9C,6.6709,3.7836,8.6234,11.6832,7.9606,9.8966,3.6432,2.8848,,,TCGA-AA-3489-01,9.7059,8.639,10.1117,11.8974,9.0266,9.3358,7.8204,8.9615,,,,,,
GTEX-13111-0726-SM-5DUVE,8.951,9.8361,9.5651,11.7689,7.9682,8.5437,6.068,8.4099,,,TCGA-D5-6531-01,10.3375,8.5178,10.0575,11.9335,8.042,9.3563,9.0106,8.2568,,,,,,
GTEX-R55D-1826-SM-48FEF,7.6764,10.395,9.3616,11.7952,8.1955,8.3392,6.3313,7.8255,,,TCGA-DM-A1HB-01,10.0586,9.4086,9.4552,11.1917,8.2252,9.3896,8.6504,8.452,,,,,,
GTEX-SNOS-1226-SM-4DM5H,8.8232,9.9016,9.1121,11.7343,8.4234,8.8094,5.6785,8.1184,,,TCGA-DM-A28G-01,9.4533,8.7071,10.3576,11.4028,10.1501,9.2612,7.2172,8.4941,,,,,,
GTEX-XAJ8-0426-SM-47JYJ,7.9636,5.8488,9.3262,11.89,7.852,9.384,4.0173,4.6136,,,TCGA-DM-A28K-01,9.6071,8.8346,10.5344,11.6701,9.2211,8.5748,7.2895,9.3243,,,,,,
GTEX-145LT-0926-SM-5LU9C,8.5066,9.6156,9.7016,11.7071,8.5276,8.5618,6.6464,8.6661,,,TCGA-G4-6294-01,9.7599,8.3832,10.1615,11.4721,8.5678,9.6249,8.2167,8.8519,,,,,,
GTEX-XBEW-1926-SM-4SOJO,7.7536,9.2467,9.3541,11.8376,8.2,8.7319,5.1414,7.9241,,,TCGA-5M-AAT4-01,10.8579,9.2109,10.5189,11.8229,10.1758,9.914,8.2508,9.5192,,,,,,
GTEX-12BJ1-2126-SM-5BC5O,7.4281,9.3413,9.718,11.5235,8.0308,8.6766,4.5443,7.309,,,TCGA-A6-5656-01,10.50917288,8.830971056,11.21598861,11.59832049,10.93990573,10.34056342,9.306813624,8.919937306,,,,,,
GTEX-U3ZM-1126-SM-4DXUB,6.3849,8.3983,8.5879,11.5072,8.6229,8.9239,3.5489,7.0498,,,TCGA-A6-6780-01,8.882804928,10.15547686,10.30553062,11.61614784,9.909344914,9.963034801,10.29730191,9.614903955,,,,,,
GTEX-111CU-1426-SM-5GZYP,8.9167,10.4045,9.6839,12.0589,8.2668,9.1142,7.1703,8.8271,,,TCGA-CM-6163-01,10.1904,8.7015,10.0539,11.9554,9.6489,9.3159,7.8356,8.7128,,,,,,
GTEX-WH7G-1326-SM-4LVMS,7.0924,8.2473,8.7886,11.6261,7.8992,8.9158,4.8277,7.0096,,,TCGA-CM-6165-01,9.7179,9.2334,9.9359,11.5165,8.764,9.1195,7.5027,8.4987,,,,,,
GTEX-14DAR-1526-SM-5RQIX,7.8243,9.4459,9.1486,11.5745,8.3925,8.8417,6.0781,8.2195,,,TCGA-DM-A28C-01,9.1281,9.0614,9.8137,11.1605,8.4539,8.4699,6.7377,8.6556,,,,,,
GTEX-Q2AI-0926-SM-48U1F,8.6402,10.1675,9.3037,11.9162,7.7899,8.4634,6.8129,8.4972,,,TCGA-A6-5660-01,9.6645,7.3926,10.2505,11.2911,10.3604,9.561,7.1843,8.3676,,,,,,
GTEX-1399R-2226-SM-5P9JB,9.5568,10.6151,9.4095,12.1112,8.5026,8.1301,7.2759,8.4915,,,TCGA-AA-3502-01,8.697,8.0559,9.7812,11.4234,10.0938,9.4862,7.4298,8.3979,,,,,,
GTEX-14E6E-1526-SM-5RQIG,6.8177,9.8643,8.3264,11.6727,7.7572,8.1614,4.4728,5.8785,,,TCGA-AA-A02Y-01,9.8819,8.0211,9.4684,11.4103,8.3072,9.0641,8.2687,8.2907,,,,,,
GTEX-SUCS-1026-SM-5CHTC,0,0,0,0,0,0,0,0,,,TCGA-AD-6888-01,10.6734,8.2365,10.0302,11.5714,8.5218,8.9912,7.011,8.1843,,,,,,
GTEX-WFG8-1526-SM-5CHSI,0,0,0,0,0,0,0,0,,,TCGA-D5-5540-01,10.6108,7.6864,10.5734,11.9374,11.5486,10.3894,9.0711,9.6846,,,,,,
