samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5.9218
,,,,,,,,,,,,,,,,,,,,,,,,,6.6106
,,,,,,,,,,,,,,,,,,,,,,,,,6.6073
,,,,,,,,,,,,,,,,,,,,,,,,,8.4388
,,,,,,,,,,,,,,,,,,,,,,,,,7.5394
,,,,,,,,,,,,,,,,,,,,,,,,,4.5957
,,,,,,,,,,,,,,,,,,,,,,,,,7.8196
,,,,,,,,,,,,,,,,,,,,,,,,,6.8317
,,,,,,,,,,,,,,,,,,,,,,,,,6.358
,,,,,,,,,,,,,,,,,,,,,,,,,11.1513
,,,,,,,,,,,,,,,,,,,,,,,,,9.5325
,,,,,,,,,,,,,,,,,,,,,,,,,8.1178
,,,,,,,,,,,,,,,,,,,,,,,,,7.2673
,,,,,,,,,,,,,,,,,,,,,,,,,8.4481
,,,,,,,,,,,,,,,,,,,,,,,,,6.8741
,,,,,,,,,,,,,,,,,,,,,,,,,8.0446
,,,,,,,,,,,,,,,,,,,,,,,,,6.546
,,,,,,,,,,,,,,,,,,,,,,,,,5.4713
,,,,,,,,,,,,,,,,,,,,,,,,,7.7071
,,,,,,,,,,,,,,,,,,,,,,,,,7.6954
,,,,,,,,,,,,,,,,,,,,,,,,,6.6765
,,,,,,,,,,,,,,,,,,,,,,,,,8.2443
,,,,,,,,,,,,,,,,,,,,,,,,,5.5474
,,,,,,,,,,,,,,,,,,,,,,,,,6.4734
,,,,,,,,,,,,,,,,,,,,,,,,,5.1159
,,,,,,,,,,,,,,,,,,,,,,,,,5.6565
,,,,,,,,,,,,,,,,,,,,,,,,,9.1572
,,,,,,,,,,,,,,,,,,,,,,,,,6.597
,,,,,,,,,,,,,,,,,,,,,,,,,6.1092
,,,,,,,,,,,,,,,,,,,,,,,,,4.6275
,,,,,,,,,,,,,,,,,,,,,,,,,4.8507
,,,,,,,,,,,,,,,,,,,,,,,,,4.8499
,,,,,,,,,,,,,,,,,,,,,,,,,8.1948
,,,,,,,,,,,,,,,,,,,,,,,,,5.0481
,,,,,,,,,,,,,,,,,,,,,,,,,8.963742466
,,,,,,,,,,,,,,,,,,,,,,,,,5.7704
,,,,,,,,,,,,,,,,,,,,,,,,,3.9868
,,,,,,,,,,,,,,,,,,,,,,,,,9.0176
,,,,,,,,,,,,,,,,,,,,,,,,,6.6241
,,,,,,,,,,,,,,,,,,,,,,,,,8.818
,,,,,,,,,,,,,,,,,,,,,,,,,5.6386
,,,,,,,,,,,,,,,,,,,,,,,,,6.5903
,,,,,,,,,,,,,,,,,,,,,,,,,7.7364
,,,,,,,,,,,,,,,,,,,,,,,,,5.2082
,,,,,,,,,,,,,,,,,,,,,,,,,6.4354
,,,,,,,,,,,,,,,,,,,,,,,,,7.7882
,,,,,,,,,,,,,,,,,,,,,,,,,5.1322
,,,,,,,,,,,,,,,,,,,,,,,,,5.9327
,,,,,,,,,,,,,,,,,,,,,,,,,9.836
,,,,,,,,,,,,,,,,,,,,,,,,,7.0481
,,,,,,,,,,,,,,,,,,,,,,,,,6.9265
,,,,,,,,,,,,,,,,,,,,,,,,,7.463
,,,,,,,,,,,,,,,,,,,,,,,,,3.8294
,,,,,,,,,,,,,,,,,,,,,,,,,7.7271
,,,,,,,,,,,,,,,,,,,,,,,,,5.892
,,,,,,,,,,,,,,,,,,,,,,,,,6.5024
,,,,,,,,,,,,,,,,,,,,,,,,,9.474
,,,,,,,,,,,,,,,,,,,,,,,,,6.9906
,,,,,,,,,,,,,,,,,,,,,,,,,8.7882
,,,,,,,,,,,,,,,,,,,,,,,,,9.2559
,,,,,,,,,,,,,,,,,,,,,,,,,7.7375
,,,,,,,,,,,,,,,,,,,,,,,,,8.4504
,,,,,,,,,,,,,,,,,,,,,,,,,3.3334
,,,,,,,,,,,,,,,,,,,,,,,,,8.5481
,,,,,,,,,,,,,,,,,,,,,,,,,8.2365
,,,,,,,,,,,,,,,,,,,,,,,,,8.6521
,,,,,,,,,,,,,,,,,,,,,,,,,9.7537
,,,,,,,,,,,,,,,,,,,,,,,,,9.2197
,,,,,,,,,,,,,,,,,,,,,,,,,6.0385
,,,,,,,,,,,,,,,,,,,,,,,,,8.0853
,,,,,,,,,,,,,,,,,,,,,,,,,7.3759
,,,,,,,,,,,,,,,,,,,,,,,,,8.3636
,,,,,,,,,,,,,,,,,,,,,,,,,6.9798
,,,,,,,,,,,,,,,,,,,,,,,,,9.1466
,,,,,,,,,,,,,,,,,,,,,,,,,9.1923
,,,,,,,,,,,,,,,,,,,,,,,,,9.3349
,,,,,,,,,,,,,,,,,,,,,,,,,9.1033
,,,,,,,,,,,,,,,,,,,,,,,,,8.2017
,,,,,,,,,,,,,,,,,,,,,,,,,6.3586
,,,,,,,,,,,,,,,,,,,,,,,,,7.1015
,,,,,,,,,,,,,,,,,,,,,,,,,8.0288
,,,,,,,,,,,,,,,,,,,,,,,,,6.4169
,,,,,,,,,,,,,,,,,,,,,,,,,4.9271
,,,,,,,,,,,,,,,,,,,,,,,,,4.1519
,,,,,,,,,,,,,,,,,,,,,,,,,7.4832
,,,,,,,,,,,,,,,,,,,,,,,,,7.7934
,,,,,,,,,,,,,,,,,,,,,,,,,8.1485
,,,,,,,,,,,,,,,,,,,,,,,,,7.6211
,,,,,,,,,,,,,,,,,,,,,,,,,9.335
,,,,,,,,,,,,,,,,,,,,,,,,,9.0064
,,,,,,,,,,,,,,,,,,,,,,,,,7.8045
,,,,,,,,,,,,,,,,,,,,,,,,,6.5718
,,,,,,,,,,,,,,,,,,,,,,,,,4.5345
,,,,,,,,,,,,,,,,,,,,,,,,,8.3632
,,,,,,,,,,,,,,,,,,,,,,,,,7.3564
,,,,,,,,,,,,,,,,,,,,,,,,,6.8888
,,,,,,,,,,,,,,,,,,,,,,,,,6.0813
,,,,,,,,,,,,,,,,,,,,,,,,,4.616
,,,,,,,,,,,,,,,,,,,,,,,,,5.4795
,,,,,,,,,,,,,,,,,,,,,,,,,8.2764
,,,,,,,,,,,,,,,,,,,,,,,,,6.2634
,,,,,,,,,,,,,,,,,,,,,,,,,8.2237
,,,,,,,,,,,,,,,,,,,,,,,,,7.2035
,,,,,,,,,,,,,,,,,,,,,,,,,8.2925
,,,,,,,,,,,,,,,,,,,,,,,,,6.6705
,,,,,,,,,,,,,,,,,,,,,,,,,8.5025
,,,,,,,,,,,,,,,,,,,,,,,,,6.2521
,,,,,,,,,,,,,,,,,,,,,,,,,8.4733
,,,,,,,,,,,,,,,,,,,,,,,,,7.7081
,,,,,,,,,,,,,,,,,,,,,,,,,4.7108
,,,,,,,,,,,,,,,,,,,,,,,,,6.121
,,,,,,,,,,,,,,,,,,,,,,,,,5.7395
,,,,,,,,,,,,,,,,,,,,,,,,,9.3526
,,,,,,,,,,,,,,,,,,,,,,,,,5.9369
,,,,,,,,,,,,,,,,,,,,,,,,,8.7213
,,,,,,,,,,,,,,,,,,,,,,,,,6.6595
,,,,,,,,,,,,,,,,,,,,,,,,,4.6474
,,,,,,,,,,,,,,,,,,,,,,,,,6.2888
,,,,,,,,,,,,,,,,,,,,,,,,,9.0729
,,,,,,,,,,,,,,,,,,,,,,,,,7.332
,,,,,,,,,,,,,,,,,,,,,,,,,6.6631
,,,,,,,,,,,,,,,,,,,,,,,,,10.1681
,,,,,,,,,,,,,,,,,,,,,,,,,8.7218
,,,,,,,,,,,,,,,,,,,,,,,,,8.1376
,,,,,,,,,,,,,,,,,,,,,,,,,7.8136
,,,,,,,,,,,,,,,,,,,,,,,,,6.6446
,,,,,,,,,,,,,,,,,,,,,,,,,8.9136
,,,,,,,,,,,,,,,,,,,,,,,,,3.5995
,,,,,,,,,,,,,,,,,,,,,,,,,9.5683
,,,,,,,,,,,,,,,,,,,,,,,,,7.1617
,,,,,,,,,,,,,,,,,,,,,,,,,8.4316
,,,,,,,,,,,,,,,,,,,,,,,,,7.1798
,,,,,,,,,,,,,,,,,,,,,,,,,8.9895
,,,,,,,,,,,,,,,,,,,,,,,,,9.3474
,,,,,,,,,,,,,,,,,,,,,,,,,6.413
,,,,,,,,,,,,,,,,,,,,,,,,,5.4905
,,,,,,,,,,,,,,,,,,,,,,,,,5.3734
,,,,,,,,,,,,,,,,,,,,,,,,,8.4841
,,,,,,,,,,,,,,,,,,,,,,,,,7.4179
,,,,,,,,,,,,,,,,,,,,,,,,,7.827
,,,,,,,,,,,,,,,,,,,,,,,,,6.0008
,,,,,,,,,,,,,,,,,,,,,,,,,7.3776
,,,,,,,,,,,,,,,,,,,,,,,,,6.8896
,,,,,,,,,,,,,,,,,,,,,,,,,7.5809
,,,,,,,,,,,,,,,,,,,,,,,,,6.7772
,,,,,,,,,,,,,,,,,,,,,,,,,8.041
,,,,,,,,,,,,,,,,,,,,,,,,,9.1989
,,,,,,,,,,,,,,,,,,,,,,,,,8.3208
,,,,,,,,,,,,,,,,,,,,,,,,,7.9546
,,,,,,,,,,,,,,,,,,,,,,,,,6.6357
,,,,,,,,,,,,,,,,,,,,,,,,,7.967
,,,,,,,,,,,,,,,,,,,,,,,,,6.0231
,,,,,,,,,,,,,,,,,,,,,,,,,8.5273
,,,,,,,,,,,,,,,,,,,,,,,,,8.7538
,,,,,,,,,,,,,,,,,,,,,,,,,6.7128
,,,,,,,,,,,,,,,,,,,,,,,,,7.1622
,,,,,,,,,,,,,,,,,,,,,,,,,8.9482
,,,,,,,,,,,,,,,,,,,,,,,,,6.7434
,,,,,,,,,,,,,,,,,,,,,,,,,6.6957
,,,,,,,,,,,,,,,,,,,,,,,,,4.7004
,,,,,,,,,,,,,,,,,,,,,,,,,9.3797
,,,,,,,,,,,,,,,,,,,,,,,,,6.7259
,,,,,,,,,,,,,,,,,,,,,,,,,9.2198
,,,,,,,,,,,,,,,,,,,,,,,,,6.4628
,,,,,,,,,,,,,,,,,,,,,,,,,8.2146
,,,,,,,,,,,,,,,,,,,,,,,,,7.9034
,,,,,,,,,,,,,,,,,,,,,,,,,8.8482
,,,,,,,,,,,,,,,,,,,,,,,,,4.6044
,,,,,,,,,,,,,,,,,,,,,,,,,7.5257
,,,,,,,,,,,,,,,,,,,,,,,,,6.9022
,,,,,,,,,,,,,,,,,,,,,,,,,5.7971
,,,,,,,,,,,,,,,,,,,,,,,,,9.0342
,,,,,,,,,,,,,,,,,,,,,,,,,9.8262
,,,,,,,,,,,,,,,,,,,,,,,,,5.325
,,,,,,,,,,,,,,,,,,,,,,,,,7.0254
,,,,,,,,,,,,,,,,,,,,,,,,,8.4517
,,,,,,,,,,,,,,,,,,,,,,,,,5.1966
,,,,,,,,,,,,,,,,,,,,,,,,,7.6405
,,,,,,,,,,,,,,,,,,,,,,,,,8.6163
,,,,,,,,,,,,,,,,,,,,,,,,,6.9387
,,,,,,,,,,,,,,,,,,,,,,,,,9.0917
,,,,,,,,,,,,,,,,,,,,,,,,,6.3535
,,,,,,,,,,,,,,,,,,,,,,,,,5.415
,,,,,,,,,,,,,,,,,,,,,,,,,7.0647
,,,,,,,,,,,,,,,,,,,,,,,,,7.6773
,,,,,,,,,,,,,,,,,,,,,,,,,8.7643
,,,,,,,,,,,,,,,,,,,,,,,,,8.9263
,,,,,,,,,,,,,,,,,,,,,,,,,8.0388
,,,,,,,,,,,,,,,,,,,,,,,,,8.9075
,,,,,,,,,,,,,,,,,,,,,,,,,7.1505
,,,,,,,,,,,,,,,,,,,,,,,,,6.8196
,,,,,,,,,,,,,,,,,,,,,,,,,7.6201
,,,,,,,,,,,,,,,,,,,,,,,,,8.1325
,,,,,,,,,,,,,,,,,,,,,,,,,10.2338
,,,,,,,,,,,,,,,,,,,,,,,,,6.6275
,,,,,,,,,,,,,,,,,,,,,,,,,8.9176
,,,,,,,,,,,,,,,,,,,,,,,,,7.7037
,,,,,,,,,,,,,,,,,,,,,,,,,7.973
,,,,,,,,,,,,,,,,,,,,,,,,,6.8755
,,,,,,,,,,,,,,,,,,,,,,,,,8.1389
,,,,,,,,,,,,,,,,,,,,,,,,,6.4254
,,,,,,,,,,,,,,,,,,,,,,,,,7.4498
,,,,,,,,,,,,,,,,,,,,,,,,,7.6459
,,,,,,,,,,,,,,,,,,,,,,,,,7.2809
,,,,,,,,,,,,,,,,,,,,,,,,,7.5216
,,,,,,,,,,,,,,,,,,,,,,,,,7.4204
,,,,,,,,,,,,,,,,,,,,,,,,,7.3472
,,,,,,,,,,,,,,,,,,,,,,,,,5.7857
,,,,,,,,,,,,,,,,,,,,,,,,,5.1195
,,,,,,,,,,,,,,,,,,,,,,,,,8.974
,,,,,,,,,,,,,,,,,,,,,,,,,8.18
,,,,,,,,,,,,,,,,,,,,,,,,,7.6841
,,,,,,,,,,,,,,,,,,,,,,,,,9.249
,,,,,,,,,,,,,,,,,,,,,,,,,4.8839
,,,,,,,,,,,,,,,,,,,,,,,,,8.1013
,,,,,,,,,,,,,,,,,,,,,,,,,8.0845
,,,,,,,,,,,,,,,,,,,,,,,,,8.9705
,,,,,,,,,,,,,,,,,,,,,,,,,8.3673
,,,,,,,,,,,,,,,,,,,,,,,,,8.9189
,,,,,,,,,,,,,,,,,,,,,,,,,8.6627
,,,,,,,,,,,,,,,,,,,,,,,,,6.4264
,,,,,,,,,,,,,,,,,,,,,,,,,5.9492
,,,,,,,,,,,,,,,,,,,,,,,,,8.4328
,,,,,,,,,,,,,,,,,,,,,,,,,6.9628
,,,,,,,,,,,,,,,,,,,,,,,,,7.5055
,,,,,,,,,,,,,,,,,,,,,,,,,7.8615
,,,,,,,,,,,,,,,,,,,,,,,,,8.342
,,,,,,,,,,,,,,,,,,,,,,,,,6.6059
,,,,,,,,,,,,,,,,,,,,,,,,,5.5928
,,,,,,,,,,,,,,,,,,,,,,,,,8.5758
,,,,,,,,,,,,,,,,,,,,,,,,,7.4193
,,,,,,,,,,,,,,,,,,,,,,,,,6.5086
,,,,,,,,,,,,,,,,,,,,,,,,,7.3415
,,,,,,,,,,,,,,,,,,,,,,,,,8.291
,,,,,,,,,,,,,,,,,,,,,,,,,8.8284
,,,,,,,,,,,,,,,,,,,,,,,,,8.0825
,,,,,,,,,,,,,,,,,,,,,,,,,8.7902
,,,,,,,,,,,,,,,,,,,,,,,,,8.06
,,,,,,,,,,,,,,,,,,,,,,,,,8.2707
,,,,,,,,,,,,,,,,,,,,,,,,,9.4284
,,,,,,,,,,,,,,,,,,,,,,,,,7.9502
,,,,,,,,,,,,,,,,,,,,,,,,,8.1863
,,,,,,,,,,,,,,,,,,,,,,,,,6.2438
,,,,,,,,,,,,,,,,,,,,,,,,,7.7812
,,,,,,,,,,,,,,,,,,,,,,,,,7.6048
,,,,,,,,,,,,,,,,,,,,,,,,,8.7866
,,,,,,,,,,,,,,,,,,,,,,,,,8.7316
,,,,,,,,,,,,,,,,,,,,,,,,,7.3562
,,,,,,,,,,,,,,,,,,,,,,,,,4.851
,,,,,,,,,,,,,,,,,,,,,,,,,6.2393
